Cell data file for inSALMO,Spawn Area 4 site,,,
"From J. White, 8/27/2013",,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
226,0.279,2.572,0,I
227,0,1.826,0,I
228,0.998,2.311,0,I
229,1,2.568,0,I
230,0.523,3.17,0,I
231,0,2.223,0,I
232,0,1.784,0,I
233,0.098,1.944,0,I
234,0.478,1.255,0,I
235,0.142,2.608,0,I
236,0,1.784,0,I
237,0.292,2.293,0,I
238,0.273,3.351,0,I
239,0.32,2.218,0,I
240,0,4.61,0,I
241,1,2.418,0,I
242,0,1.174,0,I
