1	1962043.289	628845.2346
	1962047.78	628858.526
	1962046.57	628852.6803
	1962044.956	628846.4228
	1962041.322	628841.8574
	1962040.644	628842.5982
	1962044.073	628847.2973
	1962047.202	628858.7438
	1962047.78	628858.526
END		
2	1962047.671	628853.92
	1962048.866	628858.116
	1962048.37	628852.1868
	1962046.097	628850.8494
	1962046.57	628852.6803
	1962047.78	628858.526
	1962048.866	628858.116
END		
3	1962045.066	628842.8564
	1962044.956	628846.4228
	1962046.097	628850.8494
	1962048.37	628852.1868
	1962047.354	628845.3711
	1962045.767	628840.5239
	1962042.062	628841.2224
	1962043.438	628842.4289
	1962044.956	628846.4228
END		
4	1962042.745	628840.2003
	1962045.767	628840.5239
	1962040.61	628838.9562
	1962037.071	628836.1119
	1962036.476	628836.7403
	1962042.062	628841.2224
	1962045.767	628840.5239
END		
5	1962050.204	628855.8089
	1962051.879	628856.9787
	1962051.605	628854.7652
	1962048.544	628854.2709
	1962048.866	628858.116
	1962051.879	628856.9787
END		
6	1962049.587	628849.0502
	1962047.549	628846.6768
	1962048.37	628852.1868
	1962048.544	628854.2709
	1962051.605	628854.7652
	1962051.049	628845.2401
	1962047.549	628846.6768
END		
7	1962053.294	628853.8729
	1962055.332	628855.6756
	1962054.266	628849.2142
	1962051.356	628850.4968
	1962051.605	628854.7652
	1962051.879	628856.9787
	1962055.332	628855.6756
END		
8	1962052.93	628846.9674
	1962054.266	628849.2142
	1962054.954	628845.7375
	1962055.546	628841.6735
	1962052.811	628843.0282
	1962051.049	628845.2401
	1962051.356	628850.4968
	1962054.266	628849.2142
END		
9	1962057.908	628852.3492
	1962061.398	628853.3866
	1962060.529	628850.9222
	1962057.523	628851.028
	1962054.633	628847.3596
	1962054.266	628849.2142
	1962055.332	628855.6756
	1962061.398	628853.3866
END		
10	1962056.926	628847.2862
	1962060.529	628850.9222
	1962059.307	628847.3895
	1962057.759	628845.8417
	1962055.546	628841.6735
	1962054.954	628845.7375
	1962054.633	628847.3596
	1962057.523	628851.028
	1962060.529	628850.9222
END		
11	1962059.343	628846.3587
	1962062.364	628853.022
	1962060.68	628848.3103
	1962060.288	628845.4739
	1962055.546	628841.6735
	1962057.759	628845.8417
	1962059.307	628847.3895
	1962060.529	628850.9222
	1962061.398	628853.3866
	1962062.364	628853.022
END		
12	1962061.306	628846.1604
	1962060.288	628845.4739
	1962060.68	628848.3103
	1962062.683	628847.029
	1962061.479	628844.7271
	1962060.288	628845.4739
END		
13	1962062.742	628850.6248
	1962064.375	628852.263
	1962064.244	628851.3682
	1962062.683	628847.029
	1962060.68	628848.3103
	1962062.364	628853.022
	1962064.375	628852.263
END		
14	1962063.205	628846.2554
	1962065.294	628851.9161
	1962064.529	628847.6905
	1962063.715	628844.7536
	1962062.023	628845.7655
	1962062.683	628847.029
	1962064.244	628851.3682
	1962064.375	628852.263
	1962065.294	628851.9161
END		
15	1962065.504	628850.4404
	1962066.191	628851.5774
	1962065.608	628848.4181
	1962064.138	628844.5379
	1962063.715	628844.7536
	1962064.529	628847.6905
	1962065.294	628851.9161
	1962066.191	628851.5774
END		
16	1962062.465	628839.3896
	1962064.138	628844.5379
	1962063.121	628838.9128
	1962060.62	628834.5604
	1962058.236	628826.0936
	1962054.13	628820.1563
	1962052.278	628817.9337
	1962051.908	628818.754
	1962056.591	628826.0036
	1962058.284	628830.8191
	1962059.713	628836.3225
	1962061.724	628839.3917
	1962062.914	628843.2547
	1962063.715	628844.7536
	1962064.138	628844.5379
END		
17	1962059.348	628842.6239
	1962061.479	628844.7271
	1962061.049	628842.2056
	1962060.075	628840.7239
	1962057.143	628842.9529
	1962060.288	628845.4739
	1962061.479	628844.7271
END		
18	1962057.181	628841.8412
	1962060.075	628840.7239
	1962059.229	628840.1736
	1962055.546	628841.6735
	1962057.143	628842.9529
	1962060.075	628840.7239
END		
19	1962058.23	628839.2873
	1962059.229	628840.1736
	1962058.776	628838.1151
	1962058.102	628836.5805
	1962056.739	628837.2023
	1962057.678	628838.2871
	1962056.974	628841.0919
	1962059.229	628840.1736
END		
20	1962062.128	628843.4154
	1962061.877	628839.8902
	1962060.446	628841.2879
	1962061.049	628842.2056
	1962061.479	628844.7271
	1962062.023	628845.7655
	1962063.715	628844.7536
	1962062.914	628843.2547
	1962061.877	628839.8902
END		
21	1962056.725	628835.7417
	1962058.102	628836.5805
	1962057.619	628834.9797
	1962056.19	628833.551
	1962055.462	628836.263
	1962056.739	628837.2023
	1962058.102	628836.5805
END		
22	1962060.512	628839.853
	1962059.139	628834.1136
	1962057.619	628834.9797
	1962058.102	628836.5805
	1962058.776	628838.1151
	1962059.229	628840.1736
	1962060.075	628840.7239
	1962060.446	628841.2879
	1962061.877	628839.8902
	1962061.724	628839.3917
	1962059.713	628836.3225
	1962059.139	628834.1136
END		
23	1962057.302	628831.6736
	1962056.841	628826.7144
	1962055.886	628827.2803
	1962056.19	628833.551
	1962057.619	628834.9797
	1962059.139	628834.1136
	1962058.284	628830.8191
	1962056.841	628826.7144
END		
24	1962056.214	628838.3345
	1962055.462	628836.263
	1962054.807	628836.8649
	1962054.754	628838.5979
	1962056.115	628841.4419
	1962056.974	628841.0919
	1962057.678	628838.2871
	1962056.739	628837.2023
	1962055.462	628836.263
END		
25	1962054.05	628837.7883
	1962054.807	628836.8649
	1962053.709	628836.5739
	1962053.114	628838.4392
	1962054.754	628838.5979
	1962054.807	628836.8649
END		
26	1962053.873	628840.8689
	1962053.114	628838.4392
	1962048.259	628832.232
	1962048.312	628833.0787
	1962051.302	628839.4288
	1962052.811	628843.0282
	1962055.546	628841.6735
	1962056.115	628841.4419
	1962054.754	628838.5979
	1962053.114	628838.4392
END		
27	1962048.904	628840.8989
	1962048.259	628832.232
	1962045.481	628833.1977
	1962046.354	628836.4522
	1962045.767	628840.5239
	1962047.354	628845.3711
	1962047.549	628846.6768
