1	1961849.419	628728.3115
	1961847.812	628725.9269
	1961847.156	628726.845
	1961846.456	628727.845
	1961846.446	628727.8588
	1961847.128	628728.364
	1961854.145	628731.8883
	1961855.367	628730.2214
	1961850.033	628727.3798
	1961847.812	628725.9269
END		
2	1961849.782	628726.3855
	1961848.584	628724.8457
	1961847.812	628725.9269
	1961850.033	628727.3798
	1961852.502	628728.6952
	1961851.525	628726.6813
	1961848.584	628724.8457
END		
3	1961850.935	628724.7071
	1961850.785	628721.7458
	1961850.156	628722.6448
	1961848.584	628724.8457
	1961851.525	628726.6813
	1961854.016	628723.7219
	1961850.785	628721.7458
END		
4	1961853.774	628720.7622
	1961852.89	628718.7891
	1961851.556	628720.645
	1961850.785	628721.7458
	1961854.016	628723.7219
	1961856.133	628720.6791
	1961852.89	628718.7891
END		
5	1961855.446	628719.6404
	1961853.398	628718.0822
	1961852.89	628718.7891
	1961856.133	628720.6791
	1961856.935	628719.8351
	1961853.398	628718.0822
END		
6	1961854.027	628717.9514
	1961853.83	628717.4805
	1961853.398	628718.0822
	1961856.935	628719.8351
	1961857.173	628719.6287
	1961853.83	628717.4805
END		
7	1961860.044	628721.5718
	1961857.173	628719.6287
	1961856.935	628719.8351
	1961860.533	628722.0576
	1961860.772	628721.8354
	1961857.173	628719.6287
END		
8	1961857.684	628720.9305
	1961860.533	628722.0576
	1961856.935	628719.8351
	1961856.133	628720.6791
	1961860.105	628722.5735
	1961860.533	628722.0576
END		
9	1961854.922	628727.6216
	1961854.016	628723.7219
	1961851.525	628726.6813
	1961852.502	628728.6952
	1961855.367	628730.2214
	1961858.77	628726.6773
	1961854.016	628723.7219
END		
10	1961857.202	628723.0784
	1961860.105	628722.5735
	1961856.133	628720.6791
	1961854.016	628723.7219
	1961858.77	628726.6773
	1961860.105	628722.5735
END		
11	1961856.186	628732.6086
	1961854.446	628731.4777
	1961854.145	628731.8883
	1961859.195	628734.4495
	1961863.672	628737.1324
	1961863.831	628736.8308
	1961858.576	628733.5764
	1961857.004	628732.7032
	1961854.446	628731.4777
END		
12	1961862.788	628735.6342
	1961854.907	628730.848
	1961854.446	628731.4777
	1961857.004	628732.7032
	1961858.576	628733.5764
	1961863.831	628736.8308
	1961864.386	628736.0212
	1961854.907	628730.848
END		
13	1961858.512	628731.7953
	1961859.656	628731.2745
	1961855.367	628730.2214
	1961854.907	628730.848
	1961864.386	628736.0212
	1961867.26	628737.4341
	1961868.727	628738.0909
	1961867.593	628736.2207
	1961867.232	628735.8182
	1961864.386	628734.6718
	1961859.656	628731.2745
END		
14	1961859.617	628729.3288
	1961858.77	628726.6773
	1961855.367	628730.2214
	1961859.656	628731.2745
	1961862.485	628733.3062
	1961864.752	628730.4172
	1961858.77	628726.6773
END		
15	1961865.937	628733.6578
	1961864.752	628730.4172
	1961862.485	628733.3062
	1961864.386	628734.6718
	1961867.232	628735.8182
	1961868.985	628733.7245
	1961864.752	628730.4172
END		
16	1961863.609	628727.2797
	1961860.105	628722.5735
	1961858.77	628726.6773
	1961864.752	628730.4172
	1961867.609	628727.1363
	1961860.105	628722.5735
END		
17	1961867.544	628729.7716
	1961867.609	628727.1363
	1961864.752	628730.4172
	1961868.985	628733.7245
	1961870.98	628732.772
	1961870.001	628730.0468
	1961867.609	628727.1363
END		
18	1961861.685	628723.0687
	1961860.533	628722.0576
	1961860.105	628722.5735
	1961862.028	628723.7427
	1961862.512	628722.9731
	1961860.533	628722.0576
END		
19	1961862.695	628722.7656
	1961860.772	628721.8354
	1961860.533	628722.0576
	1961862.512	628722.9731
	1961863.599	628723.3858
	1961863.948	628723.2668
	1961863.425	628722.8064
	1961862.385	628722.3778
	1961860.772	628721.8354
END		
20	1961869.638	628728.6321
	1961863.599	628723.3858
	1961862.512	628722.9731
	1961862.028	628723.7427
	1961867.609	628727.1363
	1961870.001	628730.0468
	1961870.678	628727.8547
	1961864.391	628724.0764
	1961863.599	628723.3858
END		
21	1961871.628	628727.3689
	1961863.948	628723.2668
	1961863.599	628723.3858
	1961864.391	628724.0764
	1961870.678	628727.8547
	1961871.821	628728.3945
	1961873.44	628727.3943
	1961869.563	628725.5365
	1961868.856	628725.7449
	1961863.948	628723.2668
END		
22	1961872.738	628728.4611
	1961873.44	628727.3943
	1961871.821	628728.3945
	1961872.393	628729.1088
	1961873.71	628729.1723
	1961873.44	628727.3943
END		
23	1961871.325	628729.0403
	1961870.248	628729.2475
	1961872.977	628730.8186
	1961873.71	628729.1723
	1961872.393	628729.1088
	1961871.821	628728.3945
	1961870.678	628727.8547
	1961870.248	628729.2475
END		
