
Model Run System Date and Time: Tue 10-Jan-2012 16:52:45

Scenario,Replicate,ModelDate,getReachSymbol,getSpecies,getAgeSymbol,Count,MeanLength,TotalWeight,MeanWeight
1,1,08/16/2002,ExampleSmallSite,Cutthroat,Age3Plus,5,18.595025,378.001771,75.600354
1,1,08/26/2002,ExampleSmallSite,Cutthroat,Age0,287,4.913223,504.971702,1.759483
1,1,08/26/2002,ExampleSmallSite,Cutthroat,Age1,41,11.085290,658.835015,16.069147
1,1,08/26/2002,ExampleSmallSite,Cutthroat,Age2,8,15.325638,329.776709,41.222089
1,1,08/26/2002,ExampleSmallSite,Cutthroat,Age3Plus,5,18.611882,381.282820,76.256564
1,1,09/05/2002,ExampleSmallSite,Cutthroat,Age0,265,5.101302,516.785111,1.950132
1,1,09/05/2002,ExampleSmallSite,Cutthroat,Age1,37,11.117126,599.358080,16.198867
1,1,09/05/2002,ExampleSmallSite,Cutthroat,Age2,8,15.336576,331.384890,41.423111
1,1,09/05/2002,ExampleSmallSite,Cutthroat,Age3Plus,5,18.657776,383.670495,76.734099
1,1,09/15/2002,ExampleSmallSite,Cutthroat,Age0,243,5.242650,505.190036,2.078971
1,1,09/15/2002,ExampleSmallSite,Cutthroat,Age1,37,11.119912,590.781754,15.967074
1,1,09/15/2002,ExampleSmallSite,Cutthroat,Age2,8,15.345246,333.734805,41.716851
1,1,09/15/2002,ExampleSmallSite,Cutthroat,Age3Plus,5,18.657776,383.230977,76.646195
1,1,09/25/2002,ExampleSmallSite,Cutthroat,Age0,216,5.398574,483.673922,2.239231
1,1,09/25/2002,ExampleSmallSite,Cutthroat,Age1,36,11.178105,572.054569,15.890405
1,1,09/25/2002,ExampleSmallSite,Cutthroat,Age2,8,15.354950,330.526963,41.315870
1,1,09/25/2002,ExampleSmallSite,Cutthroat,Age3Plus,5,18.657776,387.499970,77.499994
1,1,10/05/2002,ExampleSmallSite,Cutthroat,Age0,197,5.541288,472.846072,2.400234
1,1,10/05/2002,ExampleSmallSite,Cutthroat,Age1,35,11.239856,557.596318,15.931323
1,1,10/05/2002,ExampleSmallSite,Cutthroat,Age2,6,15.645753,259.089707,43.181618
1,1,10/05/2002,ExampleSmallSite,Cutthroat,Age3Plus,5,18.680532,390.712896,78.142579
1,1,10/15/2002,ExampleSmallSite,Cutthroat,Age0,188,5.683762,480.612672,2.556450
1,1,10/15/2002,ExampleSmallSite,Cutthroat,Age1,33,11.230420,523.880257,15.875159
1,1,10/15/2002,ExampleSmallSite,Cutthroat,Age2,5,15.749807,219.922245,43.984449
1,1,10/15/2002,ExampleSmallSite,Cutthroat,Age3Plus,5,18.728591,391.061941,78.212388
1,1,10/25/2002,ExampleSmallSite,Cutthroat,Age0,173,5.773057,463.946522,2.681772
1,1,10/25/2002,ExampleSmallSite,Cutthroat,Age1,30,11.283914,483.828399,16.127613
1,1,10/25/2002,ExampleSmallSite,Cutthroat,Age2,5,15.749807,218.490450,43.698090
1,1,10/25/2002,ExampleSmallSite,Cutthroat,Age3Plus,5,18.728591,387.950134,77.590027
1,1,11/04/2002,ExampleSmallSite,Cutthroat,Age0,157,5.856754,438.782109,2.794791
1,1,11/04/2002,ExampleSmallSite,Cutthroat,Age1,28,11.248914,449.263216,16.045115
1,1,11/04/2002,ExampleSmallSite,Cutthroat,Age2,5,15.749807,218.254185,43.650837
1,1,11/04/2002,ExampleSmallSite,Cutthroat,Age3Plus,5,18.728591,387.115714,77.423143
1,1,11/14/2002,ExampleSmallSite,Cutthroat,Age0,146,6.082453,453.793449,3.108174
1,1,11/14/2002,ExampleSmallSite,Cutthroat,Age1,25,11.302952,421.287203,16.851488
1,1,11/14/2002,ExampleSmallSite,Cutthroat,Age2,5,15.777801,224.459188,44.891838
1,1,11/14/2002,ExampleSmallSite,Cutthroat,Age3Plus,5,18.769331,395.191244,79.038249
1,1,11/24/2002,ExampleSmallSite,Cutthroat,Age0,136,6.239573,447.801884,3.292661
1,1,11/24/2002,ExampleSmallSite,Cutthroat,Age1,22,11.452499,388.908317,17.677651
1,1,11/24/2002,ExampleSmallSite,Cutthroat,Age2,5,15.813837,227.131266,45.426253
1,1,11/24/2002,ExampleSmallSite,Cutthroat,Age3Plus,4,19.335430,343.813464,85.953366
1,1,12/04/2002,ExampleSmallSite,Cutthroat,Age0,125,6.446059,438.970120,3.511761
1,1,12/04/2002,ExampleSmallSite,Cutthroat,Age1,21,11.483567,374.493634,17.833030
1,1,12/04/2002,ExampleSmallSite,Cutthroat,Age2,5,15.823466,227.897289,45.579458
1,1,12/04/2002,ExampleSmallSite,Cutthroat,Age3Plus,4,19.337845,344.414512,86.103628
1,1,12/14/2002,ExampleSmallSite,Cutthroat,Age0,111,6.597764,413.153939,3.722108
1,1,12/14/2002,ExampleSmallSite,Cutthroat,Age1,20,11.485846,357.327889,17.866394
1,1,12/14/2002,ExampleSmallSite,Cutthroat,Age2,5,15.858505,228.688763,45.737753
1,1,12/14/2002,ExampleSmallSite,Cutthroat,Age3Plus,4,19.360798,344.805680,86.201420
1,1,12/24/2002,ExampleSmallSite,Cutthroat,Age0,101,6.673384,391.806971,3.879277
1,1,12/24/2002,ExampleSmallSite,Cutthroat,Age1,18,11.691296,340.966428,18.942579
1,1,12/24/2002,ExampleSmallSite,Cutthroat,Age2,5,15.858505,228.945868,45.789174
1,1,12/24/2002,ExampleSmallSite,Cutthroat,Age3Plus,4,19.360798,344.567810,86.141952
1,1,01/03/2003,ExampleSmallSite,Cutthroat,Age0,0,0,0,0
1,1,01/03/2003,ExampleSmallSite,Cutthroat,Age1,78,7.145844,349.242614,4.477469
1,1,01/03/2003,ExampleSmallSite,Cutthroat,Age2,18,11.698010,337.220497,18.734472
1,1,01/03/2003,ExampleSmallSite,Cutthroat,Age3Plus,9,17.415079,564.463460,62.718162
1,1,01/13/2003,ExampleSmallSite,Cutthroat,Age0,0,0,0,0
1,1,01/13/2003,ExampleSmallSite,Cutthroat,Age1,74,7.290663,357.102783,4.825713
1,1,01/13/2003,ExampleSmallSite,Cutthroat,Age2,18,11.743121,346.844828,19.269157
1,1,01/13/2003,ExampleSmallSite,Cutthroat,Age3Plus,9,17.415079,572.615970,63.623997
1,1,01/23/2003,ExampleSmallSite,Cutthroat,Age0,0,0,0,0
1,1,01/23/2003,ExampleSmallSite,Cutthroat,Age1,70,7.603721,381.593160,5.451331
1,1,01/23/2003,ExampleSmallSite,Cutthroat,Age2,17,11.858784,340.491749,20.028926
1,1,01/23/2003,ExampleSmallSite,Cutthroat,Age3Plus,9,17.448741,584.705587,64.967287
1,1,02/02/2003,ExampleSmallSite,Cutthroat,Age0,0,0,0,0
1,1,02/02/2003,ExampleSmallSite,Cutthroat,Age1,66,7.814153,389.938760,5.908163
1,1,02/02/2003,ExampleSmallSite,Cutthroat,Age2,17,11.981580,350.540347,20.620020
1,1,02/02/2003,ExampleSmallSite,Cutthroat,Age3Plus,9,17.476955,587.774970,65.308330
1,1,02/12/2003,ExampleSmallSite,Cutthroat,Age0,0,0,0,0
1,1,02/12/2003,ExampleSmallSite,Cutthroat,Age1,59,8.050315,380.910806,6.456115
1,1,02/12/2003,ExampleSmallSite,Cutthroat,Age2,16,12.180542,347.357945,21.709872
1,1,02/12/2003,ExampleSmallSite,Cutthroat,Age3Plus,9,17.632337,608.587686,67.620854
1,1,02/22/2003,ExampleSmallSite,Cutthroat,Age0,0,0,0,0
