Format: must be tab separated, first four field are required, 5th-7th are optional.										
VariableName	DefaultValue	VariableTitle	DataType	DisplayOrder	LowerBound	UpperBound				
fishTurbidExp	-0.0711	Coefficient for turbidity effect on detection distance	FLOAT	350	-1	0				
fishTurbidMin	0.1	Minimum fraction of detection distance at high turbidities	FLOAT	355	0	1				
fishTurbidThreshold	5	Highest turbidity that has no effect on drift feeding (NTU)	FLOAT	360	0	20				
fishWeightParamA	0.0124	A in: healthy weight (g) = A*Length^B	FLOAT	365	0	0.1				
fishWeightParamB	2.98	B in: healthy weight (g) = A*Length^B	FLOAT	370	2	3.5				
mortFishAqPredD1	20	Depth at which fish predation survival increases by 10% (cm)	FLOAT	375						
mortFishAqPredD9	5	Depth at which fish predation survival increases by 90% (cm)	FLOAT	380						
mortFishAqPredF1	18	Feeding time at which fish predation survival increases by 10% (h)	FLOAT	385						
mortFishAqPredF9	0	Feeding time at which fish predation survival increases by 90% (h)	FLOAT	390						
mortFishAqPredL1	4	Length at which fish predation survival increases by 10% (cm)	FLOAT	395						
mortFishAqPredL9	8	Length at which fish predation survival increases by 90% (cm)	FLOAT	400						
mortFishAqPredMin	0.9	Minimum daily survival probability for fish predation	FLOAT	405	0.5	1				
mortFishAqPredP1	1.00E-05	Predator density at which survival increases by 90% (cm^-2)	FLOAT	410	0	1				
mortFishAqPredP9	2.00E-06	Predator density at which survival increases by 10% (cm^-2)	FLOAT	415	0	1				
mortFishAqPredT1	6	Temperature at which fish predation survival increases by 10% (C)	FLOAT	420						
mortFishAqPredT9	2	Temperature at which fish predation survival increases by 90% (C)	FLOAT	425						
mortFishAqPredU1	5	Turbidity at which fish predation survival increases by 10% (NTU)	FLOAT	430						
mortFishAqPredU9	80	Turbidity at which fish predation survival increases by 90% (NTU)	FLOAT	435						
mortFishConditionK1	0.3	Condition at which survival probability is 0.1	FLOAT	440	0	0.9				
mortFishConditionK9	0.6	Condition at which survival probability is 0.9	FLOAT	445	0.2	0.9				
mortFishHiTT1	30	Temperature at which survival probability is 0.1 (C)	FLOAT	450	20	40				
mortFishHiTT9	25.8	Temperature at which survival probability is 0.9 (C)	FLOAT	455	15	30				
mortFishStrandD1	-0.3	Ratio of fish length / water depth at which survival is 0.1	FLOAT	460						
mortFishStrandD9	0.3	Ratio of fish length / water depth at which survival is 0.9	FLOAT	465						
mortFishTerrPredD1	5	Depth at which terr predation survival increases by 10% (cm)	FLOAT	470						
mortFishTerrPredD9	150	Depth at which terr predation survival increases by 90% (cm)	FLOAT	475						
mortFishTerrPredF1	18	Feeding time at which terr predation survival increases by 10% (h)	FLOAT	480						
mortFishTerrPredF9	0	Feeding time at which terr predation survival increases by 90% (h)	FLOAT	485						
mortFishTerrPredH1	500	Dist to cover at which terr predation survival increases by 10% (cm)	FLOAT	490						
mortFishTerrPredH9	-100	Dist to cover at which terr predation survival increases by 90% (cm)	FLOAT	495						
mortFishTerrPredL1	6	Length at which terr predation survival increases by 10% (cm)	FLOAT	500						
mortFishTerrPredL9	3	Length at which terr predation survival increases by 90% (cm)	FLOAT	505						
mortFishTerrPredMin	0.95	Minimum daily survival probability for terr predation	FLOAT	510	0.5	1				
mortFishTerrPredT1	10	Turbidity at which terr predation survival increases by 10% (NTU)	FLOAT	515						
mortFishTerrPredT9	50	Turbidity at which terr predation survival increases by 90% (NTU)	FLOAT	520						
mortFishTerrPredV1	20	Velocity at which terr predation survival increases by 10% (cm/s)	FLOAT	525						
mortFishTerrPredV9	100	Velocity at which terr predation survival increases by 90% (cm/s)	FLOAT	530						
mortFishVelocityV1	1.8	Ratio of max swim speed / cell velocity where survival is 0.1	FLOAT	535						
mortFishVelocityV9	1.4	Ratio of max swim speed / cell velocity where survival is 0.9	FLOAT	540						
mortReddDewaterSurv	0.9	Daily egg survival when redd is dewatered	FLOAT	545	0	1				
mortReddHiTT1	30	High temperature at which egg survival is 10% (C)	FLOAT	550						
mortReddHiTT9	21	High temperature at which egg survival is 90% (C)	FLOAT	555						
mortReddLoTT1	-3	Low temperature at which egg survival is 10% (C)	FLOAT	560						
mortReddLoTT9	0	Low temperature at which egg survival is 90% (C)	FLOAT	565						
mortReddScourDepth	10	Depth of egg pocket, for redd scour (cm)	FLOAT	570	0	50				
reddDevelParamA	-0.000253	Constant in redd development equation	FLOAT	575						
reddDevelParamB	0.00134	Temperature coef in redd development equation	FLOAT	580						
reddDevelParamC	0.0000321	Temperature2 coef in redd development equation	FLOAT	585						
reddNewLengthMean	2.8	Mean length of newly emerged fry (cm)	FLOAT	590	1	5				
reddNewLengthStd	0.2	Standard deviation in length of newly emerged fry (cm)	FLOAT	595	2	8				
reddSize	1200	Area of redds, for superimposition (cm2)	FLOAT	600	100	100000				
@end										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
