Upper Site habitat input
inSTREAM 6.0 default project
CellNumber,FracShelt,DistHide(m),FracSpawn,FracHide,ReachEnd
186,0.1,0.2,0,0.1,I
187,0.1,0.2,0,0.1,I
188,0.1,0.2,0,0.1,I
189,0.01,3.75,0,0.01,I
190,0.5,0.1,0,0.5,I
191,0.01,3.75,0,0.01,I
192,0.05,2.5,0,0.02,I
193,0.02,1,0,0.05,I
194,0.1,1.27,0,0.05,I
195,0.05,2.5,0,0.02,I
196,0.1,1.27,0,0.05,I
197,0.1,1.27,0,0.05,I
198,0.1,1.27,0,0.05,I
199,0.3,0.86,0,0.15,I
200,0.3,0.86,0,0.15,I
201,0.01,3.75,0,0.01,I
202,0.01,3.75,0,0.01,I
203,0.5,0.1,0,0.5,I
204,0.5,0.5,0,0.5,I
205,0.05,0.5,0,0.05,I
206,0,0,0,0,I
207,0.5,0.5,0,0.5,I
208,0.5,0.5,0,0.5,I
209,0.5,0.5,0,0.5,I
210,0.02,1,0,0.05,I
211,0,3,0.5,0,I
212,0,3,0.5,0,I
213,0,3,0.5,0,I
214,0.1,1.27,0,0.05,I
215,0.1,1.27,0,0.05,I
216,0.1,1.27,0,0.05,I
217,0.1,1.27,0,0.05,I
218,0.1,1.27,0,0.05,I
219,0.3,0.86,0,0.15,I
220,0.3,0.86,0,0.15,I
221,0.5,0.5,0,0.5,I
222,0.5,0.5,0,0.5,I
223,0.05,0.5,0,0.05,I
224,0.5,0.5,0,0.5,I
225,0.05,2,0,0.05,I
226,0.5,0.5,0,0.5,I
227,0.4,0.2,0,0.5,I
228,0,2,0,0.02,I
229,0,2,0,0.02,I
230,0,2,0,0.02,I
231,0,3,0.5,0,I
232,0.2,0.8,0,0.1,I
233,0.1,1.27,0,0.05,I
234,0.5,0.5,0,0.5,I
235,0.5,0.5,0,0.5,I
236,0.3,0.86,0,0.15,I
237,0.5,0.5,0,0.5,I
238,0.5,0.5,0,0.5,I
239,0.5,0.5,0,0.5,I
240,0.5,0.5,0,0.5,I
241,0.15,0.4,0,0.05,I
242,0.5,1,0,0.3,I
243,0.5,0.5,0,0.5,I
244,0.1,0.2,0,0.5,I
245,0.5,0.5,0,0.5,I
246,0.5,1,0,0.05,I
247,0.5,1,0,0.05,I
248,0.2,0.8,0,0.1,I
249,0.2,0.8,0,0.1,I
250,0.2,0.8,0,0.1,I
251,0.2,0.8,0,0.1,I
252,0.2,0.8,0,0.1,I
253,0.2,0.8,0,0.1,I
254,0.5,0.5,0,0.5,I
255,0.5,0.5,0,0.5,I
256,0.5,0.5,0,0.5,I
257,0.1,0.2,0,0.5,I
258,0,0,0,0,I
259,0.1,0.2,0,0.5,I
260,0.1,0.2,0,0.5,I
261,0.1,0.2,0,0.5,I
262,0.1,0.2,0,0.5,I
263,0.1,0.2,0,0.5,I
264,0.1,0.2,0,0.5,I
265,0.1,0.2,0,0.5,I
266,0.1,0.2,0,0.5,I
267,0.2,1.2,0,0.02,I
268,0.2,1.2,0,0.02,I
269,0.2,0.8,0,0.1,I
270,0.2,1.2,0,0.02,I
271,0.2,0.8,0,0.1,I
272,0.2,0.8,0,0.1,I
273,0.2,0.8,0,0.1,I
274,0.2,0.8,0,0.1,I
275,0.2,0.8,0,0.1,I
276,0.2,0.8,0,0.1,I
277,0.1,0.2,0,0.5,I
278,0.2,0.8,0,0.1,I
279,0.2,0.8,0,0.1,I
280,0.2,0.8,0,0.1,I
281,0.1,0.2,0,0.5,I
282,0.1,0.2,0,0.5,I
283,0.1,0.2,0,0.5,I
284,0,0,0,0,I
285,0.15,1,0,0.05,I
286,0.15,1,0,0.05,I
287,0.15,1,0,0.05,I
288,0.1,0.2,0,0.5,I
289,0.1,0.2,0,0.5,I
290,0.1,0.2,0,0.5,I
291,0.1,0.2,0,0.5,I
292,0.15,1,0,0.05,I
293,0.1,0.2,0,0.5,I
294,0.1,0.2,0,0.5,I
295,0.1,0.2,0,0.5,I
296,0.2,1.2,0,0.02,I
297,0.5,0.2,0,0.5,I
298,0.2,1.2,0,0.02,I
299,0.2,1.2,0,0.02,I
300,0.2,1.2,0,0.02,I
301,0.2,0.8,0,0.1,I
302,0.2,0.8,0,0.1,I
303,0.2,0.8,0,0.1,I
304,0.2,0.8,0,0.1,I
305,0.2,0.8,0,0.1,I
306,0.2,0.8,0,0.1,I
307,0.1,0.2,0,0.5,I
308,0.2,0.8,0,0.1,I
309,0.2,0.8,0,0.1,I
310,0.2,0.8,0,0.1,I
311,0.1,0.2,0,0.5,I
312,0.1,0.2,0,0.5,I
313,0.1,0.2,0,0.5,I
314,0.15,1,0,0.05,I
315,0.2,2,0,0.3,I
316,0.1,0.2,0,0.5,I
317,0.1,0.2,0,0.5,I
318,0.1,0.2,0,0.5,I
319,0.1,0.2,0,0.5,I
320,0.01,3.75,0.02,0.01,I
321,0.01,3.75,0.02,0.01,I
322,0.01,3.75,0.02,0.01,I
323,0.1,0.2,0,0.5,I
324,0.1,0.2,0,0.5,I
