Lower Site habitat input
inSTREAM 6.0 default project
CellNumber,FracShelt,DistHide,FracSpawn,FracHide,ReachEnd
183,0.2,0.5,0,0.2,I
184,0.2,0.5,0,0.2,I
185,0.2,0.5,0,0.2,I
186,0.05,2,0,0.01,I
187,0.05,2,0,0.01,I
188,0.04,1.5,0,0.02,I
189,0.04,1.5,0,0.02,I
190,0.03,4.02,0,0.01,I
191,0.03,4.02,0,0.01,I
192,0.03,4.02,0,0.01,I
193,0.01,4.02,0,0.01,I
194,0.01,4.02,0,0.01,I
195,0,1,0.01,0.1,I
196,0.2,0.5,0,0.2,I
197,0.2,0.5,0,0.2,I
198,0.2,0.5,0,0.2,I
199,0.2,0.5,0,0.2,I
200,0.2,0.5,0,0.2,I
201,0.2,0.5,0,0.2,I
202,0.03,2,0,0.02,I
203,0.04,2,0,0.01,I
204,0.03,2,0,0.02,I
205,0.04,1.5,0,0.02,I
206,0.03,2,0,0.02,I
207,0.04,2,0,0.01,I
208,0.04,2,0,0.01,I
209,0,1,0,0.1,I
210,0,1.5,0,0.05,I
211,0,1,0,0.1,I
212,0,1,0,0.1,I
213,0,1,0,0.1,I
214,0,1,0,0.1,I
215,0,1,0,0.1,I
216,0.2,0.5,0,0.2,I
217,0.2,0.5,0,0.2,I
218,0.2,0.5,0,0.2,I
219,0.2,0.5,0,0.2,I
220,0.2,0.5,0,0.2,I
221,0.2,0.5,0,0.2,I
222,0.2,0.5,0,0.2,I
223,0.4,0.2,0,0.6,I
224,0.4,0.2,0,0.6,I
225,0.03,2,0,0.02,I
226,0.03,2,0,0.02,I
227,0.03,2,0,0.02,I
228,0.04,2,0,0.01,I
229,0,1.5,0,0.05,I
230,0,1,0,0.1,I
231,0,1,0,0.1,I
232,0,1.5,0,0.05,I
233,0,1.5,0,0.05,I
234,0,1,0,0.1,I
235,0,1,0,0.1,I
236,0,1,0,0.1,I
237,0.2,0.5,0,0.2,I
238,0.2,0.5,0,0.2,I
239,0.2,0.5,0,0.2,I
240,0.2,0.5,0,0.2,I
241,0.2,0.5,0,0.2,I
242,0.2,0.5,0,0.2,I
243,0.2,0.5,0,0.2,I
244,0.2,0.5,0,0.2,I
245,0.2,0.5,0,0.2,I
246,0.2,0.5,0,0.2,I
247,0.2,0.5,0,0.2,I
248,0.02,2,0,0.02,I
249,0.02,2,0,0.02,I
250,0.02,2,0,0.02,I
251,0.03,1.5,0,0.02,I
252,0.02,2,0,0.02,I
253,0,3,0,0.05,I
254,0,3,0,0.05,I
255,0,1.5,0,0.05,I
256,0,1.5,0,0.05,I
257,0,1.5,0,0.05,I
258,0,3,0,0.05,I
259,0,3,0,0.05,I
260,0,1.5,0,0.05,I
261,0,1.5,0,0.05,I
262,0.2,0.5,0,0.2,I
263,0.2,0.5,0,0.2,I
264,0.2,0.5,0,0.2,I
265,0.2,0.5,0,0.2,I
266,0.2,0.5,0,0.2,I
267,0.05,1.5,0,0.02,I
268,0.2,0.5,0,0.2,I
269,0.4,0.2,0,0.6,I
270,0.4,0.2,0,0.6,I
271,0.03,4,0,0.01,I
272,0.03,4,0,0.01,I
273,0.03,1.5,0,0.02,I
274,0.03,1.5,0,0.02,I
275,0,3,0,0.05,I
276,0,3,0,0.05,I
277,0,3,0,0.05,I
278,0,3,0,0.05,I
279,0,3,0,0.05,I
280,0,1.5,0,0.05,I
281,0.2,0.5,0,0.2,I
282,0.2,0.5,0,0.2,I
283,0.2,0.5,0,0.2,I
284,0.2,0.5,0,0.2,I
285,0.2,0.5,0,0.2,I
286,0.2,0.5,0,0.2,I
287,0.2,0.5,0,0.2,I
288,0.4,0.2,0,0.6,I
289,0.4,0.2,0,0.6,I
290,0.05,1.5,0,0.02,I
291,0.03,4,0,0.01,I
292,0.03,4,0,0.01,I
293,0.03,4,0,0.01,I
294,0,3,0,0.05,I
295,0.03,4,0,0.01,I
296,0.4,0.2,0,0.6,I
297,0,0.5,0,0.05,I
298,0,0.5,0,0.05,I
299,0,0.5,0,0.05,I
300,0,0.5,0,0.05,I
301,0,3,0,0.05,I
302,0,0.5,0,0.05,I
303,0.2,0.5,0,0.2,I
304,0.2,0.5,0,0.2,I
305,0.2,0.5,0,0.2,I
306,0.2,0.5,0,0.2,I
307,0.2,0.5,0,0.2,I
308,0.2,0.5,0,0.2,I
309,0.02,6,0,0.01,I
310,0.4,0.2,0,0.6,I
311,0.01,4,0,0.01,I
312,0.01,4,0,0.01,I
313,0.01,4,0,0.01,I
314,0.02,6,0,0.01,I
315,0.01,4,0,0.01,I
316,0.02,4.02,0,0.01,I
317,0.2,0.5,0,0.2,I
318,0.02,6,0,0.01,I
319,0.02,4.02,0,0.01,I
320,0.02,4.02,0,0.01,I
321,0,0.5,0,0.05,I
322,0,0.5,0,0.05,I
323,0,0.5,0.05,0.1,I
324,0,0.5,0,0.05,I
325,0.2,0.5,0,0.2,I
326,0.2,0.5,0,0.2,I
327,0.2,0.5,0,0.2,I
328,0.2,0.5,0,0.2,I
329,0.2,0.5,0,0.2,I
330,0.2,0.5,0,0.2,I
331,0.2,0.5,0,0.2,I
332,0.2,0.5,0,0.2,I
333,0.04,3,0,0.01,I
334,0.04,3,0,0.01,I
335,0.01,4,0,0.01,I
336,0.02,4.02,0,0.01,I
337,0.04,3,0,0.01,I
338,0.04,3,0,0.01,I
339,0.05,8,0,0.01,I
340,0.02,4.02,0,0.01,I
341,0.4,0.2,0,0.6,I
342,0.02,4.02,0,0.01,I
343,0,0.5,0,0.05,I
344,0,0.5,0.05,0.1,I
345,0.2,0.5,0,0.2,I
346,0.2,0.5,0,0.2,I
347,0.2,0.5,0,0.2,I
348,0.2,0.5,0,0.2,I
349,0.2,0.5,0,0.2,I
350,0.2,0.5,0,0.2,I
351,0.2,0.5,0,0.2,I
352,0.4,0.2,0,0.6,I
353,0.4,0.2,0,0.6,I
354,0.02,3,0,0.01,I
355,0.01,4,0,0.01,I
356,0.01,4,0,0.01,I
357,0.01,4,0,0.01,I
358,0.01,4,0,0.01,I
359,0.02,4.02,0,0.01,I
360,0.05,8,0,0.01,I
361,0.08,2,0,0.01,I
362,0.08,2,0,0.01,I
363,0.08,2,0,0.01,I
364,0.02,3,0,0.01,I
365,0.4,0.2,0,0.6,I
366,0.05,8,0,0.01,I
367,0.02,4.02,0,0.01,I
368,0.02,4.02,0,0.01,I
369,0.05,0.1,0,0.3,I
370,0.05,0.1,0,0.3,I
371,0,0.5,0.05,0.1,I
372,0.05,0.1,0,0.3,I
373,0.2,0.5,0,0.2,I
374,0.2,0.5,0,0.2,I
375,0.2,0.5,0,0.2,I
376,0.2,0.5,0,0.2,I
377,0.2,0.5,0,0.2,I
378,0.2,0.5,0,0.2,I
379,0.2,0.5,0,0.2,I
380,0.2,0.5,0,0.2,I
381,0.2,0.5,0,0.2,I
382,0.2,0.5,0,0.2,I
383,0.2,0.5,0,0.2,I
384,0.02,3,0,0.01,I
385,0.01,4,0,0.01,I
386,0.01,4,0,0.01,I
387,0.01,4,0,0.01,I
388,0.01,4,0,0.01,I
389,0.01,4,0,0.01,I
390,0.01,4,0,0.01,I
391,0.01,4,0,0.01,I
392,0.05,0.1,0,0.3,I
393,0.08,2,0,0.01,I
394,0.08,2,0,0.01,I
395,0.08,2,0,0.01,I
396,0.08,2,0,0.01,I
397,0.05,0.1,0,0.3,I
398,0,0.2,0.01,0.15,I
399,0.05,0.1,0,0.3,I
400,0.2,0.5,0,0.2,I
401,0.2,0.5,0,0.2,I
402,0.2,0.5,0,0.2,I
403,0.2,0.5,0,0.2,I
404,0.2,0.5,0,0.2,I
405,0.2,0.5,0,0.2,I
406,0.2,0.5,0,0.2,I
407,0.2,0.5,0,0.2,I
408,0.2,0.5,0,0.2,I
409,0.2,0.5,0,0.2,I
410,0.2,0.5,0,0.2,I
411,0.2,0.5,0,0.2,I
412,0.4,0.2,0,0.6,I
413,0.4,0.2,0,0.6,I
414,0.08,2,0,0.01,I
415,0.08,2,0,0.01,I
416,0.01,4,0,0.01,I
417,0.01,4,0,0.01,I
418,0.01,4,0,0.01,I
419,0,3,0,0.05,I
420,0,3,0,0.05,I
421,0.05,8,0,0.01,I
422,0.08,2,0,0.01,I
423,0.08,2,0,0.01,I
424,0,3,0,0.05,I
425,0.2,0.5,0,0.2,I
426,0.2,0.5,0,0.2,I
427,0.2,0.5,0,0.2,I
428,0.2,0.5,0,0.2,I
429,0.2,0.5,0,0.2,I
430,0.2,0.5,0,0.2,I
431,0.2,0.5,0,0.2,I
432,0.4,0.2,0,0.6,I
433,0.2,0.5,0,0.2,I
434,0.08,2,0,0.01,I
435,0.08,2,0,0.01,I
436,0.01,4,0,0.01,I
437,0.01,4,0,0.01,I
438,0.01,2,0,0.02,I
439,0.01,2,0,0.02,I
440,0,4,0.15,0,I
441,0,4,0.15,0,I
442,0,4,0.15,0,I
443,0,4,0.15,0,I
444,0.02,8,0,0.01,I
445,0.02,8,0,0.01,I
446,0.08,2,0,0.01,I
447,0,4,0.15,0,I
448,0.2,0.5,0,0.2,I
449,0.2,0.5,0,0.2,I
450,0.2,0.5,0,0.2,I
451,0.2,0.5,0,0.2,I
452,0.2,0.5,0,0.2,I
453,0.2,0.5,0,0.2,I
454,0.2,0.5,0,0.2,I
455,0.2,0.5,0,0.2,I
456,0.2,0.5,0,0.2,I
457,0.2,0.5,0,0.2,I
458,0.2,0.5,0,0.2,I
459,0.2,0.5,0,0.2,I
460,0.1,0.1,0,0.6,I
461,0.02,8,0,0.01,I
462,0.08,2,0,0.01,I
463,0.08,2,0,0.01,I
464,0.01,2,0,0.02,I
465,0.01,2,0,0.02,I
466,0.01,2,0,0.02,I
467,0,4,0.15,0,I
468,0,4,0.15,0,I
469,0,4,0.15,0,I
470,0,4,0.15,0,I
471,0.08,2,0,0.02,I
472,0.08,2,0,0.01,I
473,0.2,0.5,0,0.2,I
474,0.2,0.5,0,0.2,I
475,0.2,0.5,0,0.2,I
476,0.2,0.5,0,0.2,I
477,0.2,0.5,0,0.2,I
478,0.2,0.5,0,0.2,I
479,0.2,0.5,0,0.2,I
480,0.2,0.5,0,0.2,I
481,0.8,0,0,1,I
482,0.8,0,0,1,I
483,0.8,0,0,1,I
